Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
7 /wcal/login.php,6961,1534,542,3692,5331,10710,4,124388,0.000%,10.99177,6.66,4.92
8 /wcal/css_cacher.php,6893,890,160,1971,3847,11661,2,129517,0.000%,10.88917,10.15,4.32
10 /wcal/login.php,6892,6034,411,21687,33558,73652,3,122817,0.000%,10.88496,5.94,5.98
11 /wcal/month.php,6882,11466,173,56735,92541,127433,2,161689,0.015%,10.93125,3.19,4.61
12 /wcal/js_cacher.php,6882,403,156,399,2184,7043,2,38371,0.000%,14.17648,4.31,5.05
13 /wcal/css_cacher.php,6882,437,149,246,745,2896,2,38722,0.000%,14.30484,5.85,5.39
14 /wcal/week.php,6882,3836,160,407,22146,105723,2,110880,0.145%,14.30618,3.99,6.22
15 /wcal/view_entry.php,6882,364,164,422,1962,3565,2,52721,0.000%,14.34548,4.42,6.84
16 /wcal/edit_entry.php,6882,424,163,399,2140,4732,2,121486,0.015%,14.40071,8.96,7.09
17 /wcal/js_cacher.php,6882,354,160,350,1596,2966,2,100394,0.029%,14.45762,8.33,5.93
18 /wcal/js_cacher.php,6882,744,157,406,1974,6790,1,102935,0.000%,14.36428,6.39,5.55
19 /wcal/edit_entry_handler.php,6881,2033,328,2955,4046,64499,2,103932,0.000%,14.45789,6.70,16.43
20 /wcal/week.php,6881,7001,166,20522,67053,104264,2,112614,0.552%,14.50366,4.49,6.71
21 /wcal/login.php,6881,3921,895,9328,10819,15637,3,76802,0.000%,14.40332,6.62,6.46
TOTAL,96445,2816,180,3135,9660,84983,1,161689,0.054%,152.29152,71.29,73.92
