Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
7 /wcal/login.php,69,21,12,161,19.06,0.000%,.11323,0.19,0.00,1718.2
8 /wcal/css_cacher.php,69,12,8,35,5.44,0.000%,.11323,0.48,0.00,4338.0
10 /wcal/login.php,69,19783,5546,23110,2852.72,0.000%,.11119,3.16,0.00,29117.0
11 /wcal/month.php,66,20728,10714,24680,1735.99,0.000%,.10735,2.84,0.00,27054.0
12 /wcal/js_cacher.php,62,12,8,44,7.70,0.000%,.10593,0.25,0.00,2369.9
13 /wcal/css_cacher.php,62,19,8,341,42.06,0.000%,.10593,0.45,0.00,4337.8
14 /wcal/week.php,62,18694,11628,22384,1456.45,0.000%,.10387,1.01,0.00,9994.8
15 /wcal/view_entry.php,60,27,18,83,13.16,0.000%,.11158,0.30,0.00,2719.8
16 /wcal/edit_entry.php,60,19,13,63,8.15,0.000%,.11158,0.91,0.00,8369.8
17 /wcal/js_cacher.php,60,11,8,43,5.24,0.000%,.11158,0.54,0.00,4978.8
18 /wcal/js_cacher.php,60,10,7,31,5.01,0.000%,.11158,0.26,0.00,2369.8
19 /wcal/edit_entry_handler.php,60,18997,53,29422,7034.24,0.000%,.10752,2.63,0.00,25018.8
20 /wcal/week.php,60,17870,42,20485,2603.44,0.000%,.10743,1.04,0.00,9904.4
21 /wcal/login.php,59,22,13,107,14.27,0.000%,.11100,0.15,0.00,1399.1
Total,878,6963,7,29422,9517.84,0.000%,1.41478,13.43,0.00,9717.9
