Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
7 /wcal/login.php,74,689,436,1624,1881,2105,16,2241,0.000%,.12513,0.22,0.00
8 /wcal/css_cacher.php,74,166,135,327,386,486,9,550,0.000%,.12514,0.53,0.00
10 /wcal/login.php,74,259956,269796,272616,272747,273256,100802,274166,0.000%,.10692,3.04,0.00
11 /wcal/month.php,70,142050,154940,160719,160794,161016,67219,161222,0.000%,.36858,9.74,0.00
12 /wcal/js_cacher.php,70,142,152,289,334,376,8,378,0.000%,.57012,1.32,0.00
13 /wcal/css_cacher.php,70,149,152,311,335,448,8,466,0.000%,.56986,2.41,0.00
14 /wcal/week.php,70,128172,129248,139612,140062,141041,98662,141224,0.000%,.26568,2.54,0.00
15 /wcal/view_entry.php,70,126,84,303,327,482,18,483,0.000%,.52813,1.36,0.00
16 /wcal/edit_entry.php,70,62,37,119,185,312,14,327,0.000%,.52932,4.33,0.00
17 /wcal/js_cacher.php,70,31,15,65,82,107,8,367,0.000%,.52936,2.57,0.00
18 /wcal/js_cacher.php,70,32,16,74,98,108,8,170,0.000%,.52935,1.23,0.00
19 /wcal/edit_entry_handler.php,70,35311,3208,119435,131036,144101,35,152321,0.000%,.28733,2.31,0.00
20 /wcal/week.php,54,108471,116186,121291,123592,128635,45,132330,0.000%,.23307,2.23,0.00
21 /wcal/login.php,4,43,48,61,61,61,12,61,0.000%,.04578,0.14,0.00
TOTAL,910,51190,232,159893,269135,272363,8,274166,0.000%,1.31468,11.37,0.00
