Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
7 /wcal/login.php,112,23,12,135,15.23,0.000%,.17912,0.31,0.08,1749.1
8 /wcal/css_cacher.php,112,14,8,89,10.22,0.000%,.17916,0.76,0.07,4331.0
10 /wcal/login.php,112,183,118,508,66.89,0.000%,.17912,0.20,0.10,1146.0
11 /wcal/month.php,112,20290,4856,22993,2945.61,0.000%,.17493,4.69,0.07,27440.0
12 /wcal/js_cacher.php,106,19,10,385,37.55,0.000%,.17062,0.40,0.06,2371.0
13 /wcal/css_cacher.php,106,15,8,54,8.08,0.000%,.17062,0.72,0.06,4331.0
14 /wcal/week.php,106,18712,6660,20622,1956.70,0.000%,.16713,1.78,0.07,10881.0
15 /wcal/view_entry.php,103,29,15,200,26.54,0.000%,.16980,0.41,0.08,2476.0
16 /wcal/edit_entry.php,103,28,17,113,15.97,0.000%,.16981,1.44,0.08,8686.0
17 /wcal/js_cacher.php,103,13,8,103,10.62,0.000%,.16981,0.83,0.07,4979.0
18 /wcal/js_cacher.php,103,12,8,84,9.34,0.000%,.16981,0.39,0.07,2370.0
19 /wcal/edit_entry_handler.php,103,24,13,120,18.46,0.000%,.16981,0.40,0.19,2426.0
20 /wcal/week.php,103,18826,11811,20529,1046.38,0.000%,.16492,1.75,0.08,10881.0
21 /wcal/login.php,102,26,14,224,22.27,0.000%,.16990,0.24,0.08,1429.0
TOTAL,1486,4197,8,22993,7997.62,0.000%,2.31946,13.98,1.12,6170.5
