Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
7 /wcal/login.php,6961,1534,4,124388,3932.20,0.000%,10.99177,6.66,4.92,620.5
8 /wcal/css_cacher.php,6893,890,2,129517,4196.72,0.000%,10.88917,10.15,4.32,954.5
10 /wcal/login.php,6892,6034,3,122817,14656.06,0.000%,10.88496,5.94,5.98,559.2
11 /wcal/month.php,6882,11466,2,161689,29674.52,0.015%,10.93125,3.19,4.61,298.5
12 /wcal/js_cacher.php,6882,403,2,38371,1337.28,0.000%,14.17648,4.31,5.05,311.5
13 /wcal/css_cacher.php,6882,437,2,38722,2873.84,0.000%,14.30484,5.85,5.39,419.1
14 /wcal/week.php,6882,3836,2,110880,16813.77,0.145%,14.30618,3.99,6.22,285.4
15 /wcal/view_entry.php,6882,364,2,52721,994.15,0.000%,14.34548,4.42,6.84,315.4
16 /wcal/edit_entry.php,6882,424,2,121486,1818.30,0.015%,14.40071,8.96,7.09,637.4
17 /wcal/js_cacher.php,6882,354,2,100394,2222.20,0.029%,14.45762,8.33,5.93,589.8
18 /wcal/js_cacher.php,6882,744,1,102935,5585.17,0.000%,14.36428,6.39,5.55,455.6
19 /wcal/edit_entry_handler.php,6881,2033,2,103932,10107.62,0.000%,14.45789,6.70,16.43,474.2
20 /wcal/week.php,6881,7001,2,112614,21424.15,0.552%,14.50366,4.49,6.71,317.1
21 /wcal/login.php,6881,3921,3,76802,5378.44,0.000%,14.40332,6.62,6.46,470.4
Total,96445,2816,1,161689,12519.92,0.054%,152.29152,71.29,73.92,479.4
